system,country,origin,status,url,class
T-64BV,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/C5t2zbZW/f5666.jpg,Tanks
T-64BV,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/Vs7vQZSZ/316.png,Tanks
T-64BV,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/8zC4rW64/321.png,Tanks
T-64BV,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/LXjZKyB3/gy6.png,Tanks
T-64BV,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/GpXfM7DH/12.png,Tanks
T-64BV,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/zfsFJ69L/4318.png,Tanks
T-64BV,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/MpP3ydft/35.png,Tanks
T-64BV,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/05VtgVcv/437.png,Tanks
T-64BV,Ukraine,Soviet Union,damaged,https://i.postimg.cc/CLn96SZZ/f7.png,Tanks
T-64BV,Ukraine,Soviet Union,abandoned,https://i.postimg.cc/rFzZ43Zg/578.png,Tanks
T-64BV,Ukraine,Soviet Union,abandoned,https://i.postimg.cc/vBTn2B8C/467.png,Tanks
T-64BV,Ukraine,Soviet Union,abandoned,https://i.postimg.cc/8Pf8WQWH/557l.png,Tanks
T-64BV,Ukraine,Soviet Union,abandoned,https://i.postimg.cc/fTV39LBr/5570.png,Tanks
T-64BV,Ukraine,Soviet Union,captured,https://i.postimg.cc/fTY6Dx61/ff24.jpg,Tanks
T-64BV,Ukraine,Soviet Union,captured,https://i.postimg.cc/nrZLNHw2/ca1.png,Tanks
T-64BV,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/mgntjg7P/763.png,Tanks
T-64BV,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/59wN4Ybq/689.png,Tanks
T-64BV,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/fWBW5NVQ/558.png,Tanks
T-64BV,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/442p3Kn8/443.png,Tanks
T-64BV,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/gjqt7JQh/445.png,Tanks
T-64BV,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/qB9sVyfT/223.png,Tanks
T-64BV,Ukraine,Soviet Union,captured,https://i.postimg.cc/XNRTR2Dw/ff23.jpg,Tanks
T-64BV,Ukraine,Soviet Union,captured,https://i.postimg.cc/L88FZp4R/d135.png,Tanks
T-64BV,Ukraine,Soviet Union,captured,https://i.postimg.cc/Qdn1WwKw/fgj.png,Tanks
T-64BV,Ukraine,Soviet Union,captured,https://i.postimg.cc/hhF2509S/270.png,Tanks
T-72A,Russia,Soviet Union,captured,https://i.postimg.cc/tTk2850K/1d4.jpg,Tanks
T-72A,Russia,Soviet Union,destroyed,https://i.postimg.cc/Fs5y8Zj7/43gd.png,Tanks
T-72A,Russia,Soviet Union,destroyed,https://i.postimg.cc/pdJJKX3H/fss.jpg,Tanks
T-72A,Russia,Soviet Union,captured,https://i.postimg.cc/Hk743jcQ/4311.jpg ,Tanks
T-72A,Russia,Soviet Union,captured,https://i.postimg.cc/pLZK95pC/6652.jpg,Tanks
T-72A,Russia,Soviet Union,captured,https://i.postimg.cc/j283Hqqn/3d1d.png,Tanks
T-72A,Russia,Soviet Union,captured,https://i.postimg.cc/zBdwP2J2/fs.jpg,Tanks
T-72AV,Russia,Soviet Union,destroyed,https://i.postimg.cc/Dz9N71pg/f5j.png,Tanks
T-72AV,Russia,Soviet Union,destroyed,https://i.postimg.cc/QN5N4k84/431fp.png,Tanks
T-72AV,Russia,Soviet Union,captured,https://i.postimg.cc/Y0ZfvWm2/d67.png,Tanks
T-72B,Russia,Soviet Union,abandoned,https://i.postimg.cc/sfLpFS54/4566.png,Tanks
T-72B,Russia,Soviet Union,abandoned,https://i.postimg.cc/zv3Z8G8D/5570.png,Tanks
T-72B,Russia,Soviet Union,abandoned,https://i.postimg.cc/KzgLWJ4m/341.png,Tanks
T-72B,Russia,Soviet Union,damaged,https://i.postimg.cc/Bv3rSysY/33213.png,Tanks
T-72B,Russia,Soviet Union,captured,https://i.postimg.cc/4xc1brgd/446.png,Tanks
T-72B,Russia,Soviet Union,captured,https://i.postimg.cc/26mGDmRD/m4.png,Tanks
T-72B,Russia,Soviet Union,captured,https://i.postimg.cc/TY3dqqM5/52.png,Tanks
T-72B,Russia,Soviet Union,captured,https://i.postimg.cc/PJknPwNV/1245.png,Tanks
T-72B,Russia,Soviet Union,captured,https://i.postimg.cc/HxqJby2G/488.png,Tanks
T-72B,Russia,Soviet Union,captured,https://i.postimg.cc/3Jk4mgVW/659.png,Tanks
T-72B,Russia,Soviet Union,captured,https://i.postimg.cc/13gv8gsQ/g5mm.jpg,Tanks
T-72B,Russia,Soviet Union,captured,https://i.postimg.cc/8PQKDG7t/ta2.png,Tanks
T-72B,Russia,Soviet Union,captured,https://i.postimg.cc/JhJ6G2t4/5422.png ,Tanks
T-72B,Russia,Soviet Union,captured,https://i.postimg.cc/T3kpMkxx/52.jpg,Tanks
T-72B,Russia,Soviet Union,abandoned,https://i.postimg.cc/QCL5TQsB/d24.png,Tanks
T-72B,Russia,Soviet Union,captured,https://i.postimg.cc/tCwv2JJQ/354.png,Tanks
T-72B,Russia,Soviet Union,captured,https://i.postimg.cc/7hvdbLzy/5422.jpg,Tanks
T-72B,Russia,Soviet Union,captured,https://i.postimg.cc/WzC3dgn1/d1d.jpg,Tanks
T-72B,Russia,Soviet Union,captured,https://i.postimg.cc/KYj8D0H8/r3.jpg,Tanks
T-72B,Russia,Soviet Union,captured,https://i.postimg.cc/XJyNTp3M/r4.jpg,Tanks
T-72B,Russia,Soviet Union,captured,https://i.postimg.cc/2j7N340c/23f.jpg,Tanks
T-72B,Russia,Soviet Union,captured,https://i.postimg.cc/Bv3rSysY/33213.png,Tanks
T-72B,Russia,Soviet Union,destroyed,https://i.postimg.cc/258nmcdH/443l.png,Tanks
T-72B,Russia,Soviet Union,damaged,https://i.postimg.cc/HLqxBrSK/4fa.png,Tanks
T-72B,Russia,Soviet Union,damaged,https://i.postimg.cc/8zz8WcH7/763.png,Tanks
T-72B,Russia,Soviet Union,abandoned,https://i.postimg.cc/1tvs3GFY/470.png,Tanks
T-72B,Russia,Soviet Union,destroyed,https://i.postimg.cc/nVC3Hb5N/v90.png,Tanks
T-72B,Russia,Soviet Union,captured,https://i.postimg.cc/h421Rsvr/4314.png,Tanks
T-72B,Russia,Soviet Union,destroyed,https://i.postimg.cc/1XwLVN2J/1366.png,Tanks
T-72B,Russia,Soviet Union,destroyed,https://i.postimg.cc/PJyDTMvz/3f.png,Tanks
T-72B,Russia,Soviet Union,destroyed,https://i.postimg.cc/7LsDvrGm/b900.png,Tanks
T-72B,Russia,Soviet Union,destroyed,https://i.postimg.cc/P5zgmnd2/680.png,Tanks
T-72B,Russia,Soviet Union,destroyed,https://i.postimg.cc/T1X85D34/443fp.png,Tanks
T-72B,Russia,Soviet Union,captured,https://i.postimg.cc/q78RX85k/v43.png,Tanks
T-72B Obr. 1989,Russia,Russia,captured,https://i.postimg.cc/prpmytmf/f433.png,Tanks
T-72B Obr. 1989,Russia,Russia,destroyed,https://i.postimg.cc/VLBGh0Lz/3dd1.jpg,Tanks
T-72B Obr. 1989,Russia,Russia,abandoned,https://i.postimg.cc/rsFyfrR7/h8.png,Tanks
T-72B Obr. 1989,Russia,Russia,abandoned,https://i.postimg.cc/6qVQKzjC/4t.png,Tanks
T-72B Obr. 1989,Russia,Russia,captured,https://i.postimg.cc/NM8vPWBX/669.png,Tanks
T-72B3,Russia,Russia,abandoned,https://i.postimg.cc/9Q0cgWhd/3dh0.png,Tanks
T-72B3,Russia,Russia,abandoned,https://i.postimg.cc/sDXVZcxD/d31.png,Tanks
T-72B3,Russia,Russia,captured,https://i.postimg.cc/FzSnwdhF/j77.png,Tanks
T-72B3,Russia,Russia,captured,https://postimg.cc/BthpbCF0,Tanks
T-72B3,Russia,Russia,captured,https://i.postimg.cc/FzMQsXTM/568.png,Tanks
T-72B3,Russia,Russia,destroyed,https://i.postimg.cc/9MgnjkFX/6hh.png,Tanks
T-72B3,Russia,Russia,destroyed,https://i.postimg.cc/y6wWVgL9/4432.png,Tanks
T-72B3,Russia,Russia,destroyed,https://i.postimg.cc/Bn1tj0QC/4368.png,Tanks
T-72B3,Russia,Russia,abandoned,https://i.postimg.cc/fLmkGMYm/5g6.png,Tanks
T-72B3,Russia,Russia,abandoned,https://i.postimg.cc/QdqN23SW/48.png,Tanks
T-72B3,Russia,Russia,destroyed,https://i.postimg.cc/htc1rXFj/d31.png,Tanks
T-72B3,Russia,Russia,damaged,https://i.postimg.cc/zfTsVnsF/579.png ,Tanks
T-72B3,Russia,Russia,destroyed,https://i.postimg.cc/Xqy5KYn3/55u.png,Tanks
T-72B3 Obr. 2016,Russia,Russia,captured,https://i.postimg.cc/fLGLK0K6/466.png,Tanks
T-72B3 Obr. 2016,Russia,Russia,destroyed,https://i.postimg.cc/cL1v8KKC/4fs.png,Tanks
T-72B3 Obr. 2016,Russia,Russia,destroyed,https://i.postimg.cc/d0FgkBKX/34f.png,Tanks
T-72B3 Obr. 2016,Russia,Russia,destroyed,https://i.postimg.cc/yYwQcbj8/99.jpg,Tanks
T-72B3 Obr. 2016,Russia,Russia,captured,https://i.postimg.cc/Hxvw9rwC/559.jpg,Tanks
T-72B3 Obr. 2016,Russia,Russia,captured,https://i.postimg.cc/rpYCXVgJ/4436.png,Tanks
T-72B3 Obr. 2016,Russia,Russia,captured,https://i.postimg.cc/43hnyXsw/d138.png,Tanks
T-72B3 Obr. 2016,Russia,Russia,captured,https://i.postimg.cc/4dfJWDSG/hh3.png,Tanks
T-72B3 Obr. 2016,Russia,Russia,destroyed,https://i.postimg.cc/59FrZ5yT/g8.jpg,Tanks
T-72B3 Obr. 2016,Russia,Russia,destroyed,https://i.postimg.cc/R0N4J5Np/546.jpg,Tanks
T-72B3 Obr. 2016,Russia,Russia,captured,https://i.postimg.cc/prpmytmf/f433.png,Tanks
T-72B3 Obr. 2016,Russia,Russia,captured,https://i.postimg.cc/Jnhs4Bys/fhj.png,Tanks
T-72B3 Obr. 2016,Russia,Russia,destroyed,https://i.postimg.cc/j5CJ7pm9/4fgh.png,Tanks
T-72B3 Obr. 2016,Russia,Russia,destroyed,https://i.postimg.cc/4dfJWDSG/hh3.png,Tanks
T-72B3 Obr. 2016,Russia,Russia,destroyed,https://i.postimg.cc/MKfjQR9R/44311.png,Tanks
T-72B3 Obr. 2016,Russia,Russia,abandoned,https://i.postimg.cc/44PbCC3z/v44.png,Tanks
T-72B3 Obr. 2016,Russia,Russia,abandoned,https://i.postimg.cc/c6ysfCQt/c9.png,Tanks
T-72B3 Obr. 2016,Russia,Russia,destroyed,https://i.postimg.cc/pVh8rpDb/36h.png,Tanks
T-72B3 Obr. 2016,Russia,Russia,destroyed,https://i.postimg.cc/mrvgXNrT/6655.png,Tanks
T-72B3 Obr. 2016,Russia,Russia,destroyed,https://i.postimg.cc/jS8n67Hd/661.png,Tanks
T-72B3 Obr. 2016,Russia,Russia,destroyed,https://i.postimg.cc/yx9rcK2s/g9.jpg,Tanks
T-72B3 Obr. 2016,Russia,Russia,captured,https://i.postimg.cc/Rhx51CZ2/7799.png ,Tanks
T-72B3 Obr. 2016,Russia,Russia,captured,https://i.postimg.cc/2SLnLCmB/659.png,Tanks
T-72B3 Obr. 2016,Russia,Russia,destroyed,https://i.postimg.cc/fRbh1njW/547.jpg,Tanks
T-72B3 Obr. 2016,Russia,Russia,destroyed,https://i.postimg.cc/rsyFds36/e1.jpg,Tanks
T-72B3 Obr. 2016,Russia,Russia,destroyed,https://i.postimg.cc/FsBsR9xq/e3.jpg,Tanks
T-72B3 Obr. 2016,Russia,Russia,destroyed,https://i.postimg.cc/KYxKwWxr/46.png,Tanks
T-72B3 Obr. 2016,Russia,Russia,captured,https://i.postimg.cc/MG8fCYbX/3d3.png,Tanks
T-72B3 Obr. 2016,Russia,Russia,captured,https://i.postimg.cc/DwB9FktZ/479p.png,Tanks
T-72B3 Obr. 2016,Russia,Russia,captured,https://i.postimg.cc/3wPF3jtz/331.png,Tanks
T-72B3 Obr. 2016,Russia,Russia,captured,https://i.postimg.cc/WpJWQz1d/ta1.png,Tanks
T-72B3 Obr. 2016,Russia,Russia,captured,https://i.postimg.cc/RFS7hm3f/d15.png,Tanks
T-72B3 Obr. 2016,Russia,Russia,destroyed,https://i.postimg.cc/hGdX1BWT/346.png,Tanks
T-72B3 Obr. 2016,Russia,Russia,destroyed,https://i.postimg.cc/ZnNgPmr9/3322.png,Tanks
T-72B3 Obr. 2016,Russia,Russia,destroyed,https://i.postimg.cc/xCm0kLJ2/3325.png,Tanks
T-72B3 Obr. 2016,Russia,Russia,destroyed,https://i.postimg.cc/L6tGr73p/bb665.png,Tanks
T-72B3 Obr. 2016,Russia,Russia,destroyed,https://i.postimg.cc/brSLcD3L/h65.png,Tanks
T-72B3 Obr. 2016,Russia,Russia,destroyed,https://i.postimg.cc/zf1qWFGh/4f20.png,Tanks
T-72B3 Obr. 2016,Russia,Russia,destroyed,https://i.postimg.cc/3RgpyvLd/556.jpg,Tanks
T-72B3 Obr. 2016,Russia,Russia,captured,https://postimg.cc/nM5FPWSC,Tanks
T-72B3 Obr. 2016,Russia,Russia,captured,https://i.postimg.cc/85dw1Jvb/n9.png,Tanks
T-72B3 Obr. 2016,Russia,Russia,captured,https://i.postimg.cc/QxbX7PSj/bo.jpg,Tanks
T-72B3 Obr. 2016,Russia,Russia,captured,https://i.postimg.cc/VsK9XjfC/d332.png,Tanks
T-72B3 Obr. 2016,Russia,Russia,captured,https://i.postimg.cc/Y9ZrwnNF/44334.jpg,Tanks
T-72B3 Obr. 2016,Russia,Russia,abandoned,https://i.postimg.cc/prkfqWMs/b4.jpg,Tanks
T-72B3 Obr. 2016,Russia,Russia,abandoned,https://i.postimg.cc/brDMR83Y/d4g.png,Tanks
T-72B3 Obr. 2016,Russia,Russia,abandoned,https://i.postimg.cc/G3jxcQTv/b55.jpg,Tanks
T-72B3 Obr. 2016,Russia,Russia,captured,https://i.postimg.cc/xT11NQbP/f686.png,Tanks
T-72B3 Obr. 2016,Russia,Russia,captured,https://i.postimg.cc/cJfQLSyB/653.png,Tanks
T-72B3 Obr. 2016,Russia,Russia,captured,https://i.postimg.cc/CLV1kbgs/335.png,Tanks
T-72B3 Obr. 2016,Russia,Russia,captured,https://i.postimg.cc/SR1fCMXS/m3.png,Tanks
T-80BV,Russia,Soviet Union,captured,https://i.postimg.cc/1zNj1Pjv/44355.png,Tanks
T-80BV,Russia,Soviet Union,destroyed,https://i.postimg.cc/fRTVS0Tt/7u5.png,Tanks
T-80BV,Russia,Soviet Union,abandoned,https://i.postimg.cc/fbx3fPBg/665f.jpg,Tanks
T-80BV,Russia,Soviet Union,abandoned,https://i.postimg.cc/X7GD7K2Y/h66.jpg,Tanks
T-80BV,Russia,Soviet Union,captured,https://i.postimg.cc/63bVWQwX/470.png,Tanks
T-80BV,Ukraine,Soviet Union,abandoned,https://i.postimg.cc/MHW2qp47/d39.png,Tanks
T-80BV,Russia,Soviet Union,captured,https://i.postimg.cc/4yWGbC6D/578.png,Tanks
T-80BV,Ukraine,Soviet Union,captured,https://i.postimg.cc/4NkSDvHN/f21.png,Tanks
T-80BV,Ukraine,Soviet Union,damaged,https://i.postimg.cc/0jXKJsjL/f58.png,Tanks
T-80BVM,Russia,Russia,destroyed,https://i.postimg.cc/2y474krg/336.png,Tanks
T-80BVM,Russia,Russia,destroyed,https://i.postimg.cc/N0gj4tCc/4315.png,Tanks
T-80BVM,Russia,Russia,abandoned,https://i.postimg.cc/ZnF3nGrh/7uu.jpg,Tanks
T-80BVM,Russia,Russia,captured,https://i.postimg.cc/pT8gPXns/g78.png,Tanks
T-80BVM,Russia,Russia,captured,https://i.postimg.cc/QMpKGxyL/324.png,Tanks
T-80BVM,Russia,Russia,captured,https://i.postimg.cc/fLpZW20x/d35.png,Tanks
T-80BVM,Russia,Russia,captured,https://i.postimg.cc/jdKNRZQV/v6.jpg,Tanks
T-80BVM,Russia,Russia,captured,https://i.postimg.cc/BQnQ8tqm/5799.png,Tanks
T-80BVM,Russia,Russia,captured,https://i.postimg.cc/pLG98wSz/3h.png,Tanks
T-80BVM,Russia,Russia,captured,https://i.postimg.cc/CxH8wwhD/3d20.png,Tanks
T-80BVM,Russia,Russia,captured,https://i.postimg.cc/KzmrkB8F/bf.png,Tanks
T-80BVM,Russia,Russia,captured,https://i.postimg.cc/NMNZPpZN/gl.png,Tanks
T-80BVM,Russia,Russia,destroyed,https://i.postimg.cc/pdQwzGBj/7763.png,Tanks
T-80BVM,Russia,Russia,destroyed,https://i.postimg.cc/xdYHR8yF/f2h.png,Tanks
T-80U,Russia,Russia,destroyed,https://i.postimg.cc/tJP6fPZC/n77.png,Tanks
T-80U,Russia,Russia,destroyed,https://i.postimg.cc/F1tnjNHH/f431.png,Tanks
T-80U,Russia,Russia,destroyed,https://i.postimg.cc/tRFL7Tj8/h7.jpg,Tanks
T-80U,Russia,Russia,abandoned,https://i.postimg.cc/2Src3YPH/b67.png,Tanks
T-80U,Russia,Russia,abandoned,https://i.postimg.cc/Bb1f2rCj/b8.jpg,Tanks
T-80U,Russia,Russia,abandoned,https://i.postimg.cc/8Ck7L8Zk/m88.png,Tanks
T-80U,Russia,Russia,destroyed,https://postlmg.cc/HJF3Zn73,Tanks
T-80U,Russia,Russia,abandoned,https://i.postimg.cc/Y0bvnMbC/l8.png,Tanks
T-80U,Russia,Russia,abandoned,https://i.postimg.cc/6pZrMGJj/5554.png,Tanks
T-80U,Russia,Russia,abandoned,https://i.postimg.cc/fT1zwVth/l2.png,Tanks
T-80U,Russia,Russia,abandoned,https://i.postimg.cc/L6bcSj1H/77633.png,Tanks
T-80U,Russia,Russia,destroyed,https://i.postimg.cc/NM9ys7Kt/c8.png,Tanks
T-80U,Russia,Russia,captured,https://i.postimg.cc/7PgrKTDY/s1.jpg,Tanks
T-80U,Russia,Russia,captured,https://i.postimg.cc/Ls88PXB9/74.png,Tanks
T-80U,Russia,Russia,captured,https://i.postimg.cc/HxYDSTTS/542.png,Tanks
T-80U,Russia,Russia,captured,https://i.postimg.cc/NFhVD8bY/659.png,Tanks
T-80U,Russia,Russia,captured,https://i.postimg.cc/JnK0gXrB/763.png,Tanks
T-80U,Russia,Russia,captured,https://i.postimg.cc/nrBdhrmk/3da.png,Tanks
T-80U,Russia,Russia,captured,https://i.postimg.cc/SxpBCFNR/4433.png,Tanks
T-80U,Russia,Russia,captured,https://i.postimg.cc/nrLk93TH/d2c.png,Tanks
T-80U,Russia,Russia,captured,https://i.postimg.cc/Kcg5Wc8N/o1.png,Tanks
T-80U,Russia,Russia,captured,https://i.postimg.cc/sXz38mY9/32d.png,Tanks
T-80U,Russia,Russia,captured,https://i.postimg.cc/XY9XK8Qj/f25.png,Tanks
T-80U,Russia,Russia,captured,https://i.postimg.cc/GtdbBMjV/4f7.png,Tanks
T-80U,Russia,Russia,abandoned,https://i.postimg.cc/Kjw2vWY5/l3.png,Tanks
T-80U,Russia,Russia,abandoned,https://i.postimg.cc/prNhDTGN/n77.png ,Tanks
T-80U,Russia,Russia,abandoned,https://i.postimg.cc/90L44nrM/f58.png,Tanks
T-80U,Russia,Russia,abandoned,https://i.postimg.cc/mg84T7cL/4g.jpg,Tanks
T-80U,Russia,Russia,abandoned,https://i.postimg.cc/rF2MjVXk/5g3.jpg,Tanks
T-80U,Russia,Russia,abandoned,https://i.postimg.cc/vBWYKzb7/47.png,Tanks
T-80U,Russia,Russia,captured,https://i.postimg.cc/YCx7XJ5N/4r.png,Tanks
T-80U,Russia,Russia,abandoned,https://i.postimg.cc/5ys6P3S7/652.png,Tanks
T-80U,Russia,Russia,damaged,https://i.postimg.cc/Pf2gzrfP/f5.png,Tanks
T-80U,Russia,Russia,captured,https://i.postimg.cc/Zq13p4Tf/4680.png,Tanks
T-80U,Russia,Russia,captured,https://i.postimg.cc/7LFzTNhH/5466.png,Tanks
T-80U,Russia,Russia,captured,https://i.postimg.cc/GmVvVvpf/8k.png,Tanks
T-80U,Russia,Russia,captured,https://i.postimg.cc/7PWhmmcg/u8.jpg,Tanks
T-80UK,Russia,Russia,abandoned,https://i.postimg.cc/Tw85mW08/f4.png,Tanks
T-90A,Russia,Russia,captured,https://i.postimg.cc/hPHLMRrc/65h.png,Tanks
T-90A,Russia,Russia,captured,https://i.postimg.cc/907C3bwz/3324.png,Tanks
T-90A,Russia,Russia,destroyed,https://i.postimg.cc/VsC0bQZ3/541.png,Tanks
T-90A,Russia,Russia,destroyed,https://i.postimg.cc/T2DGFDC5/h65.png,Tanks
T-90A,Russia,Russia,destroyed,https://i.postimg.cc/3NqQz3zh/5gj.png,Tanks
T-90A,Russia,Russia,abandoned,https://i.postimg.cc/PJxLN77q/3h.png,Tanks
T-90A,Russia,Russia,destroyed,https://i.postimg.cc/DZQ2qvtq/fr.png,Tanks
T-90A,Russia,Russia,abandoned,https://i.postimg.cc/vHYqqTjM/544.png,Tanks
T-90A,Russia,Russia,abandoned,https://i.postimg.cc/90XRZvq9/4432.png,Tanks
T-90A,Russia,Russia,destroyed,https://i.postimg.cc/4dtYkZVp/43.png,Tanks
T-90A,Russia,Russia,abandoned,https://i.postimg.cc/5txSTbY7/368.png,Tanks
T-90A,Russia,Russia,captured,https://i.postimg.cc/hv56LFZ3/t5.png,Tanks
T-90A,Russia,Russia,captured,https://i.postimg.cc/85Vs1vt5/v6.jpg,Tanks
T-90A,Russia,Russia,destroyed,https://i.postimg.cc/nM8jX4k8/5422.png,Tanks
T-90A,Russia,Russia,captured,https://i.postimg.cc/fWVW6BwK/v8.jpg,Tanks
TMM-3 bridge layer,Russia,Soviet Union,abandoned,https://i.postimg.cc/rpPCMn2C/b89.png,Engineering Vehicles
TMM-3 bridge layer,Russia,Soviet Union,abandoned,https://i.postimg.cc/C1DyRDFk/h89.jpg,Engineering Vehicles
TMM-3 bridge layer,Russia,Soviet Union,captured,https://i.postimg.cc/bJJr8yDm/f6.png,Engineering Vehicles
TMM-3 bridge layer,Russia,Soviet Union,destroyed,https://i.postimg.cc/HxVW1CCJ/Screenshot-8212.png,Engineering Vehicles
TMM-3 bridge layer,Russia,Soviet Union,captured,https://i.postimg.cc/FRhY7mzP/75.png,Engineering Vehicles
TMM-3 bridge layer,Russia,Soviet Union,captured,https://i.postimg.cc/X7wjb8tg/Screenshot-8214.png,Engineering Vehicles
TMM-3 bridge layer,Russia,Soviet Union,captured,https://i.postimg.cc/y8cSr8c9/3321.png,Engineering Vehicles
TMM-3 bridge layer,Russia,Soviet Union,captured,https://i.postimg.cc/FHN9sS4X/Screenshot-8217.png,Engineering Vehicles
TMM-3 bridge layer,Russia,Soviet Union,damaged,https://i.postimg.cc/85dm6pjK/44565.png,Engineering Vehicles
TMM-3 bridge layer,Russia,Soviet Union,captured,https://i.postimg.cc/Y0Fpjf0M/Screenshot-8216.png,Engineering Vehicles
Tu-141 reconnaissance UAV,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/50F89BLn/f36.png,Unmanned Aerial Vehicles
Tu-141 reconnaissance UAV,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/tgvmF1fh/4f7.png,Unmanned Aerial Vehicles
TZM-T reloader vehicle (for TOS-1A),Russia,Russia,captured,https://i.postimg.cc/7hbYn7qH/124.png,Armoured Fighting Vehicles
TZM-T reloader vehicle (for TOS-1A),Russia,Russia,captured,https://i.postimg.cc/L8T3s9yL/57.png,Armoured Fighting Vehicles
UAZ Patriot,Russia,Russia,abandoned,https://i.postimg.cc/fyZfXHtc/g223.png,"Trucks, Vehicles, and Jeeps"
UAZ-23632,Russia,Russia,captured,https://i.postimg.cc/Hk70g9v5/f234.png,"Trucks, Vehicles, and Jeeps"
UAZ-23632,Russia,Russia,captured,https://postimg.cc/XrK56zCd,"Trucks, Vehicles, and Jeeps"
UAZ-452,Ukraine,Soviet Union,captured,https://i.postimg.cc/NFjnSrgK/bl.png,"Trucks, Vehicles, and Jeeps"
UAZ-469,Russia,Soviet Union,destroyed,https://twitter.com/UAWeapons/status/1500166161144688643,"Trucks, Vehicles, and Jeeps"
UAZ-469,Ukraine,Soviet Union,captured,https://i.postimg.cc/tgpMs65F/Screenshot-8026.png,"Trucks, Vehicles, and Jeeps"
UAZ-469,Russia,Soviet Union,captured,https://i.postimg.cc/CxsxqBbv/c1.png,"Trucks, Vehicles, and Jeeps"
Unknown AFV,Russia,Russia,captured,https://i.postimg.cc/pXJJrNhR/bj.png,Armoured Fighting Vehicles
Unknown AFV,Russia,Russia,destroyed,https://i.postimg.cc/HLcmjK2t/at2.png,Armoured Fighting Vehicles
Unknown AFV,Russia,Russia,destroyed,https://i.postimg.cc/Fs4CpZw6/665h.png,Armoured Fighting Vehicles
Unknown AFV,Ukraine,Ukraine,destroyed,https://i.postimg.cc/SNyxgzqX/3280.png,Armoured Fighting Vehicles
Unknown AFV,Russia,Russia,destroyed,https://i.postimg.cc/NMzzCDvd/4331.png,Armoured Fighting Vehicles
Unknown AFV,Russia,Russia,destroyed,https://i.postimg.cc/76JL8hdw/at1.png,Armoured Fighting Vehicles
Unknown AFV,Russia,Russia,destroyed,https://i.postimg.cc/Sx6dtt0k/468p.png,Armoured Fighting Vehicles
Unknown AFV,Russia,Russia,destroyed,https://i.postimg.cc/tCqHF7kJ/at3.png,Armoured Fighting Vehicles
Unknown AFV,Russia,Russia,destroyed,https://i.postimg.cc/kGTN1hXj/3gj.png,Armoured Fighting Vehicles
Unknown AFV,Russia,Russia,destroyed,https://i.postimg.cc/5N5fZdwK/4dh.png,Armoured Fighting Vehicles
Unknown AFV,Russia,Russia,destroyed,https://i.postimg.cc/nhwF3St9/96.png,Armoured Fighting Vehicles
Unknown AFV,Russia,Russia,abandoned,https://i.postimg.cc/yNKDhgkN/5g.png,Armoured Fighting Vehicles
Unknown AFV,Russia,Russia,destroyed,https://i.postimg.cc/CLjRn2mS/59.png,Armoured Fighting Vehicles
Unknown BTR,Ukraine,Ukraine,abandoned,https://i.postimg.cc/524HCBT8/b1.png,Armoured Fighting Vehicles
Unknown BTR-D/BMD-2,Russia,Soviet Union,destroyed,https://i.postimg.cc/QdK7WkC4/c6.png,Armoured Fighting Vehicles
Unknown BTR-D/BMD-2,Russia,Soviet Union,destroyed,https://i.postimg.cc/bvF6gtDB/63.jpg,Armoured Fighting Vehicles
Unknown BTR-D/BMD-2,Russia,Soviet Union,destroyed,https://i.postimg.cc/KvqgC9sz/o9.png,Armoured Fighting Vehicles
Unknown BTR-D/BMD-2,Russia,Soviet Union,destroyed,https://i.postimg.cc/FzfBpQX5/br1.jpg,Armoured Fighting Vehicles
Unknown BTR-D/BMD-2,Russia,Soviet Union,destroyed,https://i.postimg.cc/kM6Cw0cg/br2.jpg,Armoured Fighting Vehicles
Unknown BTR-D/BMD-2,Russia,Soviet Union,destroyed,https://i.postimg.cc/d31jmRdh/77690.jpg,Armoured Fighting Vehicles
Unknown BTR-D/BMD-2,Russia,Soviet Union,destroyed,https://i.postimg.cc/TwswzQQW/f69.png,Armoured Fighting Vehicles
Unknown BTR-D/BMD-2,Russia,Soviet Union,destroyed,https://i.postimg.cc/9FMZcjhj/c7.png,Armoured Fighting Vehicles
Unknown BTR-D/BMD-2,Russia,Soviet Union,destroyed,https://i.postimg.cc/7hrBH0XB/dg.png,Armoured Fighting Vehicles
Unknown communications station,Russia,Russia,destroyed,https://i.postimg.cc/43B99JVP/57.png  ,Communications Stations
Unknown communications station based on the KamAZ 6x6,Russia,Russia,damaged,https://i.postimg.cc/DfxxKLnD/84.png,Communications Stations
